name,addr
생각여행교실,"서울 노원구 공릉로34길 62 (공릉동, 태강아파트)"
오태교실,"경북 칠곡군 북삼읍 북삼로8길 19 (인평리, 동부늘푸른타운)"
혜윰,경기 광명시 소하동 1322-2
예시바독서논술교실,"충북 증평군 증평읍 북부두름길 48 (장동리, 리오프라자)"
반림 현대교실,"경남 창원시 성산구 외동반림로 219 (반림동, 현대아파트)"
상현금호1차교실,"경기 용인시 수지구 상현로 59 (상현동, 금호베스트빌1단지아파트)"
책먹는아이들교실,"경기 고양시 덕양구 화신로 45 (행신동, 무원마을1단지)"
아이비츠학원,"경기 안산시 단원구 새뿔길 22-1 (신길동, 새뿔프라자)"
가온누리해법논술교실,"충북 음성군 금왕읍 대금로 1458-5 (금석리, 음성금왕두진하트리움)"
행복한 에덴교실,경남 거제시 장승포동 643
포곡미르논술교실,"경기 용인시 처인구 포곡읍 포곡로 80 (둔전리, 청석빌딩)"
오샘 국어논술학원,경기 안양시 동안구 경수대로 935 (비산동)
혁신 만성초교실,전북 전주시 덕진구 기지로 91 (장동)
중국 무석교실,경기 안양시 동안구 호계동 846
우림필유교실,"경북 구미시 수출대로3길 130 (공단동, 우림필유아파트)"
한얼아카데미,"제주특별자치도 제주시 우정로15길 12 (외도1동, 부영아파트상가)"
영무예다음교실,"충북 진천군 덕산면 대하로 87 (두촌리, 영무예다음)"
속초 아카블,"강원 속초시 미시령로3337번길 6-17 (교동, 명지미래힐아파트)"
평창 토토교실,강원 평창군 평창읍 문화길 16 (하리)
진부더함교실,강원 평창군 진부면 진부시장뒷길 32 (하진부리)
송천서림,전북 전주시 덕진구 송천동1가 831-2
수학엔논술교실,"경기 고양시 일산서구 원일로 51 (일산동, 메이저프라자)"
글 읽는 씨앗,"충남 계룡시 엄사면 번영3길 91 (유동리, 대동황토방아파트)"
원주보리수교실,강원 원주시 단관초교길 22-13 (관설동)
모현부영,"전북 익산시 선화로 41 (모현동1가, 익산배산사랑으로부영1차아파트)"
박달한라교실,"경기 안양시 만안구 박달로 453 (박달동, 한라비발디아파트)"
현대깨움교실,"인천 부평구 안남로 91 (산곡동, 현대2차아파트)"
창동쌍용교실,서울 도봉구 창동 807
해법갈현2교실,서울 은평구 갈현동 452-18
A+교실,"부산 서구 망양로33번길 27 (서대신동3가, 구덕자유아파트)"
대정교실,"제주특별자치도 서귀포시 대정읍 신영로 123-1 (하모리, 좋은아이들)"
천안 신방,충남 천안시 서북구 새말4길 20 (쌍용동)
영천망정교실,"경북 영천시 창신1길 21 (망정동, 창신타운)"
강산에,"부산 기장군 정관읍 정관2로 9 (모전리, 이지 더원 2차 아파트)"
신촌 다원교실,"경남 창원시 성산구 신촌로 101 (신촌동, 양곡상가아파트)"
안홍구 영재 논술,충남 아산시 배방읍 공수리 640
제천현대아이파크교실,"충북 제천시 용두대로15길 38 (하소동, 현대아파트)"
두진하트리움교실,"충북 청주시 흥덕구 덕암로30번길 19 (봉명동, 두진하트리움아파트)"
명쾌한 e,"충남 천안시 서북구 봉서산1길 41 (쌍용동, 농협)"
최상위학원,"세종특별자치시 새롬중앙로 34 (새롬동, 크리스마스빌딩)"
한양수자인,"인천 중구 하늘별빛로 111 (중산동, 스카이시티자이)"
오산새벽날개교실,"경기 오산시 한신대길 117 (양산동, 중앙메티칼의원)"
해울 독서논술,충남 천안시 서북구 백석동 984
김해 한림풀에버교실,"경남 김해시 율하3로 100 (관동동, 죽림마을 한림풀에버7단지아파트)"
솔샘꿈쟁이교실,"강원 원주시 시청로 88 (무실동, 무실주공4단지아파트)"
자이해법독서논술,"충남 아산시 배방읍 호서로 460 (갈매리, 배방자이1차아파트)"
아름다운교실,경기 화성시 동탄신리천로 268 (오산동)
브레인,"강원 동해시 임항로 52 (부곡동, 무릉체육관)"
해법말글독서논술,대구 수성구 지산동 1064-7
글담해법독서교실,서울 송파구 석촌동 265
정다운독서토론논술,광주 북구 첨단연신로107번길 21 (신용동)
